vac_id,vac_name,grade,city,geo,geo_city,published_at,archived,employer_id,emp_name,addres,is_accredited,is_trusted,salary_from,salary_to,currency,gross,mode_name,frequency,prof_role,schedule_name,insider_interview,response_letter_required,experience,hard_skills,soft_skills,has_test,url,parsed_for_job
122475530,Начальник отдела исполнения обязательств,Team Lead,Кингисепп,"[59.37748821892389, 28.631913028657465]","[59.3743982, 28.5981591]",2025-07-07T13:35:30+0300,0,203987,Полная занятость,"Кингисепп, пр. Карла Маркса, 64",0,1,,87130.5,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122475530,Руководитель отдела аналитики
122504563,Руководитель управления,Team Lead,Богандинский,"[57.541821, 68.096053]","[56.8940348, 65.8893873]",2025-07-08T07:34:48+0300,0,10763243,Полная занятость,Тюменская область,0,1,73138.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122504563,Руководитель отдела аналитики
122504564,Руководитель управления,Team Lead,Боровский,"[57.541821, 68.096053]","[57.041527, 65.727104]",2025-07-08T07:34:48+0300,0,10763243,Полная занятость,Тюменская область,0,1,73138.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122504564,Руководитель отдела аналитики
122508861,Руководитель службы клиентского сервиса,Team Lead,Новосибирск,"[55.028894, 82.926493]","[55.0288307, 82.9226887]",2025-07-08T09:13:02+0300,0,5123066,Полная занятость,"Новосибирск, Депутатская улица, 46",0,1,100000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122508861,Руководитель отдела аналитики
122508996,Руководитель отдела аналитики,Team Lead,Казань,"[55.798014, 49.119511]","[55.7823547, 49.1242266]",2025-07-08T09:15:17+0300,0,11302278,Полная занятость,"Казань, Вахитовский район, Большая Красная улица, 15/9",0,1,34800.0,78300.0,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,Нет опыта,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122508996,Руководитель отдела аналитики
122536601,Начальник отдела аналитики и себестоимости строительства,Team Lead,Москва,"[55.742706, 37.617734]","[55.625578, 37.6063916]",2025-07-08T15:32:44+0300,0,62136,Полная занятость,"Москва, Кадашёвская набережная, 6/1/2",0,1,400000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,Более 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122536601,Руководитель отдела аналитики
122542417,Категорийный менеджер/Руководитель направления закупок и развития ассортимента (легковые запчасти),Team Lead,Москва,"[55.783656, 37.581433]","[55.625578, 37.6063916]",2025-07-08T17:21:52+0300,0,11384059,Полная занятость,"Москва, 3-я улица Ямского Поля, 2к8",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; управление команда,0,https://hh.ru/vacancy/122542417,Руководитель отдела аналитики
122544264,Старший бизнес-аналитик (Senior/Lead BA) в коммерческую дирекцию,Senior,Москва,"[55.625578, 37.6063916]","[55.625578, 37.6063916]",2025-07-17T14:01:52+0300,0,3018,Полная занятость,,0,1,250000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,1с; excel; python; sql,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122544264,Руководитель отдела аналитики
122612754,Руководитель отдела производственного учета,Team Lead,Ростов-на-Дону,"[47.206684, 39.594279]","[47.2216548, 39.7096061]",2025-07-10T09:56:45+0300,0,984330,Полная занятость,"Ростов-на-Дону, улица Пескова, 9",0,1,90000.0,110000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122612754,Руководитель отдела аналитики
122690370,Руководитель отдела аналитики,Team Lead,Чита,"[52.033409, 113.500893]","[52.033409, 113.500893]",2025-07-11T08:19:44+0300,0,9728572,Полная занятость,,0,1,100000.0,150000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122690370,Руководитель отдела аналитики
122709760,Руководитель направления ТДС,Team Lead,Санкт-Петербург,"[59.897781, 30.405951]","[59.9606739, 30.1586551]",2025-07-11T13:55:03+0300,0,1745233,Полная занятость,"Санкт-Петербург, улица Седова, 13",0,1,87000.0,217500.0,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122709760,Руководитель отдела аналитики
122730445,Руководитель отдела аналитики 1С,Team Lead,Москва,"[55.762429, 37.635566]","[55.625578, 37.6063916]",2025-07-18T12:20:43+0300,0,1736014,Полная занятость,"Москва, Мясницкая улица, 24/7с1",0,1,220000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Удаленная работа,,0,От 3 до 6 лет,1с; agile; ci/cd; erp; scrum; waterfall,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122730445,Руководитель отдела аналитики
122743445,Начальник отдела гражданской защиты,Team Lead,Ижевск,"[56.860452, 53.286536]","[56.8605175, 53.1977307]",2025-07-14T08:03:58+0300,0,5560510,Полная занятость,"Ижевск, улица Труда, 90",0,1,56000.0,60000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122743445,Руководитель отдела аналитики
122744083,Руководитель отдела разработки и сопровождения,Team Lead,Тюмень,"[57.156949, 65.465804]","[57.153534, 65.542274]",2025-07-18T07:20:49+0300,0,2978550,Полная занятость,"Тюмень, Авторемонтная улица, 12",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,1с,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122744083,Руководитель отдела аналитики
122761521,Руководитель отдела по трудоустройству,Team Lead,Нижний Новгород,"[56.351136, 43.849715]","[56.3264816, 44.0051395]",2025-07-14T11:55:23+0300,0,2349415,Полная занятость,"Нижний Новгород, Свирская улица, 20",0,1,35000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; управление команда,0,https://hh.ru/vacancy/122761521,Руководитель отдела аналитики
122771581,Руководитель отдела аналитики,Team Lead,Новосибирск,"[55.746603, 52.42497]","[55.0288307, 82.9226887]",2025-07-14T14:15:38+0300,0,4039388,Полная занятость,"Набережные Челны, проспект Вахитова, 16А",0,1,120000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,1с; excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122771581,Руководитель отдела аналитики
